,extractor,reliable_positive_threshold,classifier,detector,balanced_accuracy,accuracy,f1
150,clip-ViT-B-16,6.129032,naivebayes,k-means,0.5969330881778282,0.618,0.6884176182707993
151,clip-ViT-B-16,6.129032,naivebayes,knn,0.6041890329931595,0.556,0.45185185185185184
152,clip-ViT-B-16,6.307692,logistic,k-means,0.5727054719860476,0.538,0.47855530474040625
153,clip-ViT-B-16,6.307692,logistic,knn,0.613390591129155,0.552,0.3879781420765027
154,clip-ViT-B-16,6.307692,kneighbours,k-means,0.5353932977117448,0.514,0.49374999999999997
155,clip-ViT-B-16,6.307692,kneighbours,knn,0.6236719029579081,0.603,0.5944841675178755
156,clip-ViT-B-16,6.307692,qda,k-means,0.5170086915030583,0.485,0.42329227323628216
157,clip-ViT-B-16,6.307692,qda,knn,0.597434916560748,0.574,0.5553235908141964
158,clip-ViT-B-16,6.307692,naivebayes,k-means,0.5722900238985484,0.52,0.3846153846153846
159,clip-ViT-B-16,6.307692,naivebayes,knn,0.6041808062983576,0.554,0.44110275689223055
160,clip-ViT-B-16,6.574194,logistic,k-means,0.6609676238426069,0.623,0.5720771850170262
161,clip-ViT-B-16,6.574194,logistic,knn,0.600184689298304,0.537,0.3560500695410292
162,clip-ViT-B-16,6.574194,kneighbours,k-means,0.6015564906565314,0.58,0.5670103092783505
163,clip-ViT-B-16,6.574194,kneighbours,knn,0.6073439704497123,0.576,0.5350877192982457
164,clip-ViT-B-16,6.574194,qda,k-means,0.4545063777451452,0.479,0.5739983646770236
165,clip-ViT-B-16,6.574194,qda,knn,0.5927971173661414,0.567,0.5408271474019088
166,clip-ViT-B-16,6.574194,naivebayes,k-means,0.5239211718104076,0.464,0.26170798898071623
167,clip-ViT-B-16,6.574194,naivebayes,knn,0.5959458848015927,0.544,0.41984732824427484
168,clip-ViT-B-16,7.069421,logistic,k-means,0.5681417130446587,0.549,0.5393258426966292
169,clip-ViT-B-16,7.069421,logistic,knn,0.5823409882728465,0.515,0.2981186685962373
170,clip-ViT-B-16,7.069421,kneighbours,k-means,0.5004709782774124,0.49,0.5
171,clip-ViT-B-16,7.069421,kneighbours,knn,0.5984015531999786,0.56,0.4930875576036866
172,clip-ViT-B-16,7.069421,qda,k-means,0.5584568365890479,0.56,0.6007259528130672
173,clip-ViT-B-16,7.069421,qda,knn,0.5836552027674602,0.544,0.46853146853146865
174,clip-ViT-B-16,7.069421,naivebayes,k-means,0.45495473261185215,0.505,0.6405228758169934
175,clip-ViT-B-16,7.069421,naivebayes,knn,0.5935395765720185,0.54,0.40721649484536077
176,clip-ViT-L-14,5.386517,logistic,k-means,0.5235674239339232,0.544,0.6231404958677685
177,clip-ViT-L-14,5.386517,logistic,knn,0.635779541032697,0.6,0.550561797752809
178,clip-ViT-L-14,5.386517,kneighbours,k-means,0.4236974057117942,0.459,0.5783320342946219
179,clip-ViT-L-14,5.386517,kneighbours,knn,0.5483215485930295,0.586,0.6858877086494689
180,clip-ViT-L-14,5.386517,qda,k-means,0.40741883337241014,0.444,0.5683229813664595
181,clip-ViT-L-14,5.386517,qda,knn,0.5883670422152844,0.569,0.5606523955147809
182,clip-ViT-L-14,5.386517,naivebayes,k-means,0.44518758920822177,0.496,0.6347826086956521
183,clip-ViT-L-14,5.386517,naivebayes,knn,0.581915256816845,0.536,0.4341463414634147
184,clip-ViT-L-14,5.475771,logistic,k-means,0.6177507393741953,0.616,0.6483516483516484
185,clip-ViT-L-14,5.475771,logistic,knn,0.6506924820349552,0.615,0.568868980963046
186,clip-ViT-L-14,5.475771,kneighbours,k-means,0.5317858920410841,0.55,0.6243739565943238
187,clip-ViT-L-14,5.475771,kneighbours,knn,0.6043103767414885,0.627,0.6984640258690381
188,clip-ViT-L-14,5.475771,qda,k-means,0.592996614715089,0.574,0.5670731707317074
189,clip-ViT-L-14,5.475771,qda,knn,0.5923055723517241,0.572,0.5614754098360656
190,clip-ViT-L-14,5.475771,naivebayes,k-means,0.5947550707290086,0.545,0.4305381727158948
191,clip-ViT-L-14,5.475771,naivebayes,knn,0.5817404395523033,0.535,0.4294478527607362
192,clip-ViT-L-14,5.566116,logistic,k-means,0.5864008621576152,0.589,0.6307277628032345
193,clip-ViT-L-14,5.566116,logistic,knn,0.6544397415172494,0.613,0.5494761350407451
194,clip-ViT-L-14,5.566116,kneighbours,k-means,0.5391385005203384,0.553,0.6189258312020459
195,clip-ViT-L-14,5.566116,kneighbours,knn,0.6020459789972481,0.616,0.6756756756756757
196,clip-ViT-L-14,5.566116,qda,k-means,0.46551369539017157,0.499,0.6082877247849883
197,clip-ViT-L-14,5.566116,qda,knn,0.5969269181567267,0.575,0.5604963805584282
198,clip-ViT-L-14,5.566116,naivebayes,k-means,0.5767447791338113,0.524,0.38817480719794345
199,clip-ViT-L-14,5.566116,naivebayes,knn,0.5805331720901152,0.532,0.417910447761194
200,clip-ViT-L-14,5.660284,logistic,k-means,0.6110151330050881,0.597,0.6037364798426744
201,clip-ViT-L-14,5.660284,logistic,knn,0.6473956340930687,0.602,0.5227817745803358
