,extractor,reliable_positive_threshold,algorithn,prior,balanced_accuracy,accuracy,f1
90,clip-ViT-B-32,5.865385,probtag,0.1,0.5008962303174034,0.29119426658050873,0.0035785069367980623
91,clip-ViT-B-32,5.865385,probtag,0.2,0.5004825855555249,0.29060682605886157,0.0019284809080390103
92,clip-ViT-B-32,5.865385,probtag,0.3,0.500344703968232,0.2904110125516458,0.0013778659611992945
93,clip-ViT-B-32,5.865385,probtag,0.4,0.5002757631745857,0.29031310579803793,0.0011024446710580715
94,clip-ViT-B-32,5.865385,probtag,0.5,0.5001103052698342,0.29007812958937906,0.0004411237627856966
95,clip-ViT-B-32,5.865385,probtag,0.6,0.5001103052698342,0.29007812958937906,0.0004411237627856966
96,clip-ViT-B-32,5.865385,probtag,0.7,0.5000551526349172,0.2899998041864928,0.00022058620784735434
97,clip-ViT-B-32,5.865385,probtag,0.8,0.5000275763174585,0.28996064148504963,0.00011029918654349926
98,clip-ViT-B-32,5.865385,probtag,0.9,0.5000137881587293,0.2899410601343281,5.515111405250386e-05
99,clip-ViT-B-32,5.865385,nnpu,0.1,0.5000551526349172,0.2899998041864928,0.00022058620784735434
100,clip-ViT-B-32,5.865385,nnpu,0.2,0.5168243548641966,0.3139282147682547,0.06560524841987359
101,clip-ViT-B-32,5.865385,nnpu,0.3,0.5919080069694663,0.4247586598523566,0.3239362069362299
102,clip-ViT-B-32,5.865385,nnpu,0.4,0.6876698834604262,0.583230531242045,0.5993977037455298
103,clip-ViT-B-32,5.865385,nnpu,0.5,0.7410217211496859,0.7234721651099493,0.7821889073971251
104,clip-ViT-B-32,5.865385,nnpu,0.6,0.7327482690217391,0.7569562748438388,0.8220093498150113
105,clip-ViT-B-32,5.865385,nnpu,0.7,0.6617914251167074,0.7759110223423211,0.8553955016426585
106,clip-ViT-B-32,5.865385,nnpu,0.8,0.6128437149290602,0.7645146762223658,0.8545018994845985
107,clip-ViT-B-32,5.865385,nnpu,0.9,0.504631295937659,0.7126828408623627,0.8317027011527212
108,clip-ViT-B-32,5.987416,probtag,0.1,0.5002343986983978,0.2902543617458732,0.0009371554575523704
109,clip-ViT-B-32,5.987416,probtag,0.2,0.5000827289523757,0.29003896688793596,0.00033086106592406737
110,clip-ViT-B-32,5.987416,probtag,0.3,0.5000275763174585,0.28996064148504963,0.00011029918654349926
111,clip-ViT-B-32,5.987416,probtag,0.4,0.5000275763174585,0.28996064148504963,0.00011029918654349926
112,clip-ViT-B-32,5.987416,probtag,0.5,0.5000137881587293,0.2899410601343281,5.515111405250386e-05
113,clip-ViT-B-32,5.987416,probtag,0.6,0.5000137881587293,0.2899410601343281,5.515111405250386e-05
114,clip-ViT-B-32,5.987416,probtag,0.7,0.5000137881587293,0.2899410601343281,5.515111405250386e-05
115,clip-ViT-B-32,5.987416,probtag,0.8,0.5,0.28992147878360647,0.0
116,clip-ViT-B-32,5.987416,probtag,0.9,0.5,0.28992147878360647,0.0
117,clip-ViT-B-32,5.987416,nnpu,0.1,0.5005653145079006,0.290724314163191,0.0022587042750110177
118,clip-ViT-B-32,5.987416,nnpu,0.2,0.517565522874302,0.31512267716227066,0.06899488926746167
119,clip-ViT-B-32,5.987416,nnpu,0.3,0.6155146421957537,0.4616890873132429,0.3968494262708704
120,clip-ViT-B-32,5.987416,nnpu,0.4,0.6795486579688783,0.5716971156670387,0.583696541748349
121,clip-ViT-B-32,5.987416,nnpu,0.5,0.7403308492806591,0.7079049912862989,0.7632710710488313
122,clip-ViT-B-32,5.987416,nnpu,0.6,0.7222668117372928,0.7715835438328535,0.8392387094995933
123,clip-ViT-B-32,5.987416,nnpu,0.7,0.684283769261595,0.7783978538839609,0.8533896438703995
124,clip-ViT-B-32,5.987416,nnpu,0.8,0.5956939544900766,0.7561926021656974,0.8506340047265443
125,clip-ViT-B-32,5.987416,nnpu,0.9,0.5042612255196345,0.7125261900565901,0.8316457002626056
126,clip-ViT-B-32,6.129032,probtag,0.1,0.5000689407936464,0.29001938553721435,0.00027572515716333963
127,clip-ViT-B-32,6.129032,probtag,0.2,0.5000275763174585,0.28996064148504963,0.00011029918654349926
128,clip-ViT-B-32,6.129032,probtag,0.3,0.5000137881587293,0.2899410601343281,5.515111405250386e-05
129,clip-ViT-B-32,6.129032,probtag,0.4,0.5000137881587293,0.2899410601343281,5.515111405250386e-05
130,clip-ViT-B-32,6.129032,probtag,0.5,0.5,0.28992147878360647,0.0
131,clip-ViT-B-32,6.129032,probtag,0.6,0.5,0.28992147878360647,0.0
132,clip-ViT-B-32,6.129032,probtag,0.7,0.5,0.28992147878360647,0.0
133,clip-ViT-B-32,6.129032,probtag,0.8,0.5,0.28992147878360647,0.0
