,extractor,reliable_positive_threshold,classifier,detector,balanced_accuracy,accuracy,f1
22,clip-ViT-B-32,0.55,naivebayes,k-means,0.5371290054512639,0.5462021970275509,0.6361681083881501
23,clip-ViT-B-32,0.55,naivebayes,knn,0.526732557762225,0.6764181793260099,0.7948861168000994
24,clip-ViT-B-32,0.6,logistic,k-means,0.5237973860117012,0.594098180892518,0.7074365235064147
25,clip-ViT-B-32,0.6,logistic,knn,0.567995564425886,0.6862088546867963,0.7935587761674718
26,clip-ViT-B-32,0.6,kneighbours,k-means,0.48634279990974577,0.5110536724823278,0.612916227444658
27,clip-ViT-B-32,0.6,kneighbours,knn,0.5177964014295149,0.6941197203783117,0.8131705158412171
28,clip-ViT-B-32,0.6,qda,k-means,0.4846338570001394,0.6525289314456911,0.7832671755725191
29,clip-ViT-B-32,0.6,qda,knn,0.5356781449124047,0.6599502633691672,0.7764072719781635
30,clip-ViT-B-32,0.6,naivebayes,k-means,0.4809389377747791,0.5942156689968474,0.7242705270300838
31,clip-ViT-B-32,0.6,naivebayes,knn,0.5261233262087001,0.6707004249153107,0.7896060352053645
32,clip-ViT-B-32,0.6,logistic,k-means,0.5237973860117012,0.594098180892518,0.7074365235064147
33,clip-ViT-B-32,0.6,logistic,knn,0.567995564425886,0.6862088546867963,0.7935587761674718
34,clip-ViT-B-32,0.6,kneighbours,k-means,0.48634279990974577,0.5110536724823278,0.612916227444658
35,clip-ViT-B-32,0.6,kneighbours,knn,0.5177964014295149,0.6941197203783117,0.8131705158412171
36,clip-ViT-B-32,0.6,qda,k-means,0.4846338570001394,0.6525289314456911,0.7832671755725191
37,clip-ViT-B-32,0.6,qda,knn,0.5356781449124047,0.6599502633691672,0.7764072719781635
38,clip-ViT-B-32,0.6,naivebayes,k-means,0.4809389377747791,0.5942156689968474,0.7242705270300838
39,clip-ViT-B-32,0.6,naivebayes,knn,0.5261233262087001,0.6707004249153107,0.7896060352053645
