,extractor,reliable_positive_threshold,classifier,detector,balanced_accuracy,accuracy,f1
23,clip-ViT-B-32,5.566116,naivebayes,knn,0.601274227017625,0.6281893124987762,0.7176169655869842
24,clip-ViT-B-32,5.660284,logistic,k-means,0.556391066921092,0.6238422526385871,0.7302193635367806
25,clip-ViT-B-32,5.660284,logistic,knn,0.6789622542645315,0.7493587107638685,0.8274793109954983
26,clip-ViT-B-32,5.660284,kneighbours,k-means,0.5038580899682963,0.5651569445260334,0.6796959513060536
27,clip-ViT-B-32,5.660284,kneighbours,knn,0.6032497052978962,0.7054573224461024,0.8032079125019624
28,clip-ViT-B-32,5.660284,qda,k-means,0.5175731656825345,0.5487086099199123,0.6505859700723177
29,clip-ViT-B-32,5.660284,qda,knn,0.5707952749203704,0.6687031271417102,0.7750641477325605
30,clip-ViT-B-32,5.660284,naivebayes,k-means,0.5559847017780698,0.5757896179678474,0.6687765648411461
31,clip-ViT-B-32,5.660284,naivebayes,knn,0.6131303616786201,0.6298733086608315,0.7147298520977965
32,clip-ViT-B-32,5.758871,logistic,k-means,0.560921208098688,0.6249975523311598,0.7298604939838912
33,clip-ViT-B-32,5.758871,logistic,knn,0.6829560885903299,0.7445025357849184,0.8217583738593521
34,clip-ViT-B-32,5.758871,kneighbours,k-means,0.5179270210917928,0.5604770017035775,0.6667458502835764
35,clip-ViT-B-32,5.758871,kneighbours,knn,0.6052550880326534,0.699054220760148,0.7963210835310177
36,clip-ViT-B-32,5.758871,qda,k-means,0.5006573345895241,0.5071765650394564,0.5979809596830874
37,clip-ViT-B-32,5.758871,qda,knn,0.572337151648167,0.6646497875423447,0.7703365964865228
38,clip-ViT-B-32,5.758871,naivebayes,k-means,0.5747348515471247,0.5601637000920323,0.6355346422196982
39,clip-ViT-B-32,5.758871,naivebayes,knn,0.6140479112124082,0.6166754782744914,0.6967969766433307
40,clip-ViT-B-32,5.865385,logistic,k-means,0.5809467476501247,0.6201217960014882,0.7159423685135293
41,clip-ViT-B-32,5.865385,logistic,knn,0.6896467372040532,0.7412911942665805,0.81686626746507
42,clip-ViT-B-32,5.865385,kneighbours,k-means,0.5239795543527783,0.5481015880475435,0.646281650419962
43,clip-ViT-B-32,5.865385,kneighbours,knn,0.5982134783496238,0.6872662476257613,0.7862810956924352
44,clip-ViT-B-32,5.865385,qda,k-means,0.5315904931831981,0.5549942235015372,0.6520820575627679
45,clip-ViT-B-32,5.865385,qda,knn,0.5720151060407375,0.6603614717343202,0.7658643916793779
