,extractor,reliable_positive_threshold,classifier,detector,balanced_accuracy,accuracy,f1
19,clip-ViT-L-14,5.566116,kneighbours,knn,0.5908904453252684,0.7357496720123754,0.8341220576485772
20,clip-ViT-L-14,5.566116,qda,k-means,0.5706871133991107,0.6166754782744914,0.7158945779635436
21,clip-ViT-L-14,5.566116,qda,knn,0.6075365747812569,0.672384421077366,0.7675830358259129
22,clip-ViT-L-14,5.566116,naivebayes,k-means,0.5873252806264666,0.6295208443478432,0.725
23,clip-ViT-L-14,5.566116,naivebayes,knn,0.6217208539193884,0.6756153439464254,0.7665445321307779
24,clip-ViT-L-14,5.660284,logistic,k-means,0.6027847055582193,0.7110967514539153,0.8088067592784572
25,clip-ViT-L-14,5.660284,logistic,knn,0.689569613474384,0.7791223638606591,0.853029315960912
26,clip-ViT-L-14,5.660284,kneighbours,k-means,0.5379821987588392,0.6579725469462884,0.773734730624247
27,clip-ViT-L-14,5.660284,kneighbours,knn,0.6006313892717412,0.7342027453053712,0.8307312450119713
28,clip-ViT-L-14,5.660284,qda,k-means,0.47602381399587246,0.5450664786856997,0.6665518478650879
29,clip-ViT-L-14,5.660284,qda,knn,0.6075397177662435,0.6644148113336859,0.7586808978005576
30,clip-ViT-L-14,5.660284,naivebayes,k-means,0.49423153298149364,0.6259766198672384,0.7541287474094764
31,clip-ViT-L-14,5.660284,naivebayes,knn,0.6215080240136643,0.6686443830895455,0.758719023583426
32,clip-ViT-L-14,5.758871,logistic,k-means,0.5905991171577742,0.6983884548356145,0.7995523339796727
33,clip-ViT-L-14,5.758871,logistic,knn,0.6969452502892394,0.7761459985509801,0.8488830138797091
34,clip-ViT-L-14,5.758871,kneighbours,k-means,0.5451864632696396,0.6447355538585051,0.7576635900997769
35,clip-ViT-L-14,5.758871,kneighbours,knn,0.603383417657401,0.7253128120777771,0.8220609873661779
36,clip-ViT-L-14,5.758871,qda,k-means,0.5373154445269035,0.590338561553976,0.6969859363005664
37,clip-ViT-L-14,5.758871,qda,knn,0.607570779770459,0.660968493606689,0.754745311349085
38,clip-ViT-L-14,5.758871,naivebayes,k-means,0.5459053724272563,0.5807436997004053,0.6805138994583464
39,clip-ViT-L-14,5.758871,naivebayes,knn,0.6198562769120302,0.66110556306174,0.7505584941556289
40,clip-ViT-L-14,5.865385,logistic,k-means,0.5794322330511802,0.6739313477843701,0.7779378033818745
41,clip-ViT-L-14,5.865385,logistic,knn,0.7039263526221895,0.7703107560359513,0.8420031787936748
42,clip-ViT-L-14,5.865385,kneighbours,k-means,0.5437376784977537,0.6292271240870195,0.7410669109904685
43,clip-ViT-L-14,5.865385,kneighbours,knn,0.6074981083700404,0.7193796628091406,0.8155669665263889
44,clip-ViT-L-14,5.865385,qda,k-means,0.5485466625095949,0.6082750788149367,0.7146178975449008
45,clip-ViT-L-14,5.865385,qda,knn,0.6084224393013609,0.6556227848596996,0.7482572536894692
