,extractor,quantile,prior,balanced_accuracy,accuracy,f1
34,clip-ViT-B-32,5.475771,0.8,0.5807564932235251,0.750983962873759,0.8490044050771185
35,clip-ViT-B-32,5.475771,0.9,0.5140537432887865,0.717891480154301,0.8341640287769784
36,clip-ViT-B-16,5.475771,0.1,0.5,0.28992147878360647,0.0
37,clip-ViT-B-16,5.475771,0.2,0.5021309708272921,0.29297616949617183,0.008621399741907143
38,clip-ViT-B-16,5.475771,0.3,0.5565498765977488,0.37153654859112184,0.2079806529625151
39,clip-ViT-B-16,5.475771,0.4,0.6920421303848445,0.5894965634729483,0.6078123246155572
40,clip-ViT-B-16,5.475771,0.5,0.7431818532901245,0.6947854863028452,0.7450313251435396
41,clip-ViT-B-16,5.475771,0.6,0.7510257334051631,0.7754214885742818,0.836505153316512
42,clip-ViT-B-16,5.475771,0.7,0.6633902294510906,0.7837435626309502,0.861832557674023
43,clip-ViT-B-16,5.475771,0.8,0.5861303577785251,0.7548414889659089,0.8512215990113129
44,clip-ViT-B-16,5.475771,0.9,0.5162977582063114,0.7192621747048111,0.8348595321192854
45,clip-ViT-L-14,5.475771,0.1,0.5,0.28992147878360647,0.0
46,clip-ViT-L-14,5.475771,0.2,0.5072249951741444,0.3001821065617106,0.028488324679914103
47,clip-ViT-L-14,5.475771,0.3,0.5773194812930074,0.4023380132761558,0.2765241300843842
48,clip-ViT-L-14,5.475771,0.4,0.7277169535113389,0.6546045546221778,0.6948111493676143
49,clip-ViT-L-14,5.475771,0.5,0.741496429220766,0.6838786739509292,0.7308256635987729
50,clip-ViT-L-14,5.475771,0.6,0.7311716592832626,0.7872094617086687,0.852288327964224
51,clip-ViT-L-14,5.475771,0.7,0.6472174987219179,0.7789657130548865,0.860590342102013
52,clip-ViT-L-14,5.475771,0.8,0.6011540029528004,0.7619886819792829,0.8544607684663003
53,clip-ViT-L-14,5.475771,0.9,0.525123330823999,0.7240204429301533,0.8370861845755503
54,clip-ViT-B-32,5.566116,0.1,0.5,0.28992147878360647,0.0
55,clip-ViT-B-32,5.566116,0.2,0.5087582820075659,0.3024731245961346,0.0349479843953186
